Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat134,5.0274337784366026,0.95,0.6411569205771033,5.0274337784366026,0.96,0.6411569224438295,5.0274337784366026,0.96,0.6411569231716541,5.0274337784366026,0.96,0.6411569128382526,5.0274337784366026,0.96,0.6411569194238326
Pat135,5.116922438356619,0.95,0.455860999718523,5.116922438356619,0.95,0.45586099978650074,5.116922438356619,0.95,0.4558609978863644,5.116922438356619,0.95,0.455860996764905,5.116922438356619,0.95,0.45586100042496525
Pat136,5.014366063930037,0.95,0.6974196875259319,5.014366063930037,0.96,0.6974196865140944,5.014366063930037,0.96,0.6974196864052273,5.014366063930037,0.96,0.6974196895629955,5.014366063930037,0.96,0.6974196870969318
Pat137,5.0184200171306115,0.95,0.39023658531589694,5.0184200171306115,0.96,0.3902365804476363,5.0184200171306115,0.95,0.39023657719086,5.0184200171306115,0.95,0.3902365767872997,5.0184200171306115,0.95,0.39023658644555237
Pat138,4.943826312792914,0.94,0.748512854521042,4.943826312792914,0.96,0.7485128544622066,4.943826312792914,0.95,0.7485128575565166,4.943826312792914,0.96,0.7485128508054676,4.943826312792914,0.95,0.7485128566307356
Pat139,5.038565453796785,0.95,0.684387227138239,5.038565453796785,0.95,0.6843872260794195,5.038565453796785,0.94,0.6843872241744535,5.038565453796785,0.95,0.6843872266601355,5.038565453796785,0.94,0.6843872246333074
Pat140,5.2284915308037405,0.94,0.5959295209491282,5.2284915308037405,0.93,0.595929522097446,5.2284915308037405,0.94,0.5959295109504794,5.2284915308037405,0.94,0.5959295235960862,5.2284915308037405,0.94,0.5959295204611652
Pat141,5.0955043808124785,0.94,0.6062134871116321,5.0955043808124785,0.94,0.6062134869645381,5.0955043808124785,0.93,0.6062134801412934,5.0955043808124785,0.93,0.6062135007497174,5.0955043808124785,0.94,0.6062134889411146
Pat143,5.230214554423677,0.93,0.5710751403815466,5.230214554423677,0.94,0.5710751401972927,5.230214554423677,0.93,0.5710751450983196,5.230214554423677,0.93,0.5710751410587455,5.230214554423677,0.93,0.5710751399096159
Pat144,5.353465463349986,0.94,0.7897659742434405,5.353465463349986,0.95,0.7897659745093861,5.353465463349986,0.94,0.7897659706705588,5.353465463349986,0.95,0.7897659726547399,5.353465463349986,0.94,0.7897659736475168
Pat145,5.232600062394606,0.94,0.5920961535689546,5.232600062394606,0.95,0.5920961560449021,5.232600062394606,0.94,0.5920961570239266,5.232600062394606,0.95,0.5920961519687964,5.232600062394606,0.94,0.5920961454596294
Pat146,5.03342290335457,0.95,0.6474369711335036,5.03342290335457,0.96,0.6474369680516788,5.03342290335457,0.96,0.6474369661017161,5.03342290335457,0.96,0.6474369743096169,5.03342290335457,0.96,0.6474369701812676
Pat147,5.100552854685329,0.93,0.6293554401858008,5.100552854685329,0.95,0.629355439035106,5.100552854685329,0.94,0.6293554364867532,5.100552854685329,0.95,0.629355438610915,5.100552854685329,0.94,0.6293554423338806
Pat174,5.133782129801997,0.94,0.6773124896395535,5.133782129801997,0.95,0.6773124940392404,5.133782129801997,0.94,0.677312492026382,5.133782129801997,0.94,0.6773124856103212,5.133782129801997,0.94,0.6773124917189249
